restaurant_id,restaurant_name,city,area,cuisines,avg_cost_for_two,rating,total_ratings,has_online_delivery,has_table_booking,opening_date,is_active
1,Highway Point,Nagpur,Sadar,"North Indian, Punjabi",800,3.5,3632,Yes,No,2020-09-09,Yes
2,New Tadka,Bengaluru,Jayanagar,Seafood,300,3.3,3328,Yes,Yes,2017-04-28,Yes
3,Bhavan Eatery,Ahmedabad,CG Road,Gujarati,1000,4.2,3714,Yes,No,2017-09-26,No
4,Udupi Dhaba,Indore,Palasia,"Bengali, Rajasthani",200,3.6,2862,Yes,No,2019-10-04,Yes
5,Shahi Corner,Jaipur,Raja Park,Gujarati,700,4.0,1613,Yes,No,2022-03-26,Yes
6,Golden Corner,Delhi,Lajpat Nagar,Chettinad,700,2.6,659,Yes,No,2022-10-19,Yes
7,Classic Diner,Lucknow,Gomti Nagar,"Mughlai, Street Food",350,2.9,557,Yes,Yes,2019-08-05,No
8,Ruchi Corner,Delhi,Rohini,"Hyderabadi, Punjabi",250,3.1,1610,Yes,Yes,2019-09-30,Yes
9,Haveli Bistro,Jaipur,Vaishali Nagar,"Hyderabadi, Desserts",250,3.8,1540,Yes,Yes,2017-01-02,Yes
10,Dawat Dhaba,Pune,Hinjewadi,"Kerala, South Indian, Seafood",250,2.6,1287,Yes,Yes,2016-07-06,No
11,Highway Palace,Indore,Rajwada,"Street Food, Rajasthani",1200,2.8,2043,Yes,No,2016-12-18,No
12,Udupi Cafe,Delhi,Connaught Place,Pizza,700,4.5,3245,No,No,2020-03-02,Yes
13,Highway Tadka,Bhopal,Habibganj,"Kerala, Bengali",700,4.6,1044,Yes,Yes,2016-11-14,Yes
14,New Garden,Visakhapatnam,Gajuwaka,Chettinad,500,3.4,3070,Yes,No,2019-08-17,Yes
15,Masala Diner,Kolkata,Park Street,"Italian, Rajasthani, Chettinad",1500,3.3,2012,Yes,Yes,2022-04-12,Yes
16,Biryani Bros Tadka,Mysuru,Chamundi Hill,"Rajasthani, Desserts",600,2.8,430,Yes,Yes,2017-04-18,Yes
17,Royal Express,Lucknow,Alambagh,"Seafood, Bengali",800,3.2,4208,No,Yes,2015-11-16,Yes
18,Zaika House,Bengaluru,Whitefield,"Kerala, Mughlai",200,2.9,4610,Yes,Yes,2015-02-15,Yes
19,Ruchi Express,Bhopal,Arera Colony,Rajasthani,400,4.5,3780,Yes,No,2019-07-11,Yes
20,Royal Bistro,Lucknow,Alambagh,"Punjabi, Bengali",150,4.2,4499,Yes,Yes,2020-10-06,Yes
21,Maa Ki Palace,Chandigarh,Sector 43,Italian,200,4.0,2269,No,Yes,2017-03-15,Yes
22,Spice Cafe,Delhi,Karol Bagh,Bengali,300,3.5,1252,No,No,2021-05-20,No
23,Spice Restaurant,Jaipur,Vaishali Nagar,South Indian,1200,3.7,551,Yes,No,2017-12-23,Yes
24,Golden Bites,Nagpur,Dharampeth,"Chettinad, Desserts",350,3.9,4498,Yes,No,2020-04-04,Yes
25,Swad Palace,Bhopal,Arera Colony,"Street Food, Chettinad, North Indian",600,3.2,4178,Yes,No,2019-11-13,Yes
26,Tandoor Palace,Delhi,Rohini,Italian,300,4.6,1803,Yes,No,2021-03-23,Yes
27,Dawat Express,Hyderabad,Madhapur,"Seafood, Bengali",400,3.2,1996,Yes,No,2021-05-09,Yes
28,Star Kitchen,Bengaluru,Whitefield,"Seafood, Bengali",500,3.7,260,Yes,No,2016-09-22,Yes
29,Biryani Bros Eatery,Lucknow,Gomti Nagar,"Gujarati, Biryani",500,4.6,2356,Yes,No,2019-07-19,Yes
30,Bhavan Point,Chandigarh,Sector 22,"Seafood, Chinese, Continental",200,4.5,79,Yes,No,2015-12-03,Yes
31,Star Cafe,Nagpur,Dharampeth,North Indian,250,2.6,2397,Yes,No,2020-04-14,Yes
32,Royal Corner,Coimbatore,RS Puram,"Burgers, Continental",800,2.7,333,Yes,Yes,2015-06-09,Yes
33,Punjabi Palace,Surat,Udhna,"Pizza, Kerala, Chinese",350,2.8,3797,Yes,Yes,2021-11-14,No
34,Bhavan Hub,Hyderabad,Secunderabad,"Pizza, South Indian, Seafood",1000,2.9,3882,No,No,2018-10-19,No
35,Ruchi Tadka,Lucknow,Alambagh,"Street Food, Pizza",400,3.0,3788,Yes,No,2022-06-21,Yes
36,Royal Bistro,Delhi,Connaught Place,Continental,250,2.9,611,Yes,No,2020-01-13,Yes
37,Amantran Eatery,Coimbatore,Gandhipuram,"Bengali, Continental",1000,4.9,4532,Yes,No,2022-03-24,Yes
38,Annapurna Corner,Nagpur,Dharampeth,"Biryani, Desserts",150,2.6,2075,No,Yes,2015-09-28,Yes
39,Highway Point,Mysuru,Hebbal,"Italian, Burgers",500,4.1,4651,Yes,Yes,2022-12-07,Yes
40,Golden Eatery,Jaipur,Raja Park,"Italian, South Indian",300,3.8,4067,Yes,Yes,2016-07-28,Yes
41,Ghar Ka Dhaba,Kochi,MG Road,"Desserts, Burgers, Chettinad",150,2.8,4114,Yes,Yes,2018-10-13,Yes
42,Rasoi Tadka,Chandigarh,Mohali,"Gujarati, Biryani, Bengali",600,4.9,4851,Yes,No,2015-06-11,Yes
43,Zaika Dhaba,Delhi,Karol Bagh,"Gujarati, Chinese",500,4.8,4996,Yes,No,2020-04-27,No
44,Rasoi Garden,Ahmedabad,CG Road,"South Indian, Street Food, Fast Food",350,2.5,1887,Yes,Yes,2019-06-06,Yes
45,Spice Diner,Ahmedabad,CG Road,Chinese,700,4.5,4487,No,Yes,2018-01-25,No
46,Swad Kitchen,Lucknow,Indiranagar,"Gujarati, Biryani",1000,3.9,959,Yes,No,2020-12-27,No
47,Haveli House,Chandigarh,Sector 22,Bengali,400,4.1,3941,Yes,Yes,2015-11-23,Yes
48,Swad Garden,Jaipur,Vaishali Nagar,"Fast Food, Bengali, Mughlai",300,4.3,2970,Yes,No,2019-10-13,Yes
49,Ruchi Restaurant,Vadodara,Manjalpur,Italian,150,4.9,550,Yes,Yes,2016-05-12,Yes
50,Punjabi Bites,Mysuru,Chamundi Hill,"Continental, Punjabi, Fast Food",400,4.5,2903,Yes,No,2015-12-08,Yes
51,Maa Ki Dhaba,Vadodara,Sama,"Chinese, Chettinad, Mughlai",400,2.9,4391,Yes,No,2016-08-20,Yes
52,Classic Tadka,Mumbai,Juhu,"Continental, Kerala",300,2.9,3970,Yes,No,2019-07-07,Yes
53,Ghar Ka Bites,Nagpur,Itwari,"Burgers, Desserts",150,2.6,1550,Yes,No,2017-03-26,Yes
54,Star Express,Mumbai,Kurla,"Burgers, Bengali, North Indian",600,2.7,796,Yes,No,2018-07-14,Yes
55,Haveli Point,Nagpur,Sadar,Chettinad,1500,4.6,2607,Yes,No,2015-05-14,No
56,Royal Bistro,Kochi,Kakkanad,Pizza,250,4.2,3119,Yes,No,2022-06-16,Yes
57,Dawat Express,Kochi,MG Road,Punjabi,1200,3.2,196,Yes,No,2018-06-17,Yes
58,Golden Cafe,Pune,Hadapsar,"Chettinad, Continental, Desserts",200,4.9,2744,Yes,Yes,2016-04-09,Yes
59,Swagat Restaurant,Coimbatore,Gandhipuram,South Indian,350,4.6,4517,Yes,No,2018-02-06,No
