menu_item_id,restaurant_id,item_name,cuisine,veg_nonveg,price,is_available
1,1,Dal Makhani,North Indian,Veg,100,Yes
2,1,Paratha,North Indian,Veg,150,No
3,1,Butter Chicken,North Indian,Non-Veg,80,Yes
4,1,Rasmalai,Desserts,Veg,280,Yes
5,1,Litti Chokha,North Indian,Veg,220,Yes
6,1,Fish Moilee,Kerala,Non-Veg,200,Yes
7,2,Paneer Tikka,North Indian,Veg,300,Yes
8,2,Chicken Tikka,Mughlai,Non-Veg,400,Yes
9,2,Chicken Biryani,Biryani,Non-Veg,250,No
10,2,Chicken Burger,Fast Food,Non-Veg,120,Yes
11,2,Idli Sambar,South Indian,Veg,180,Yes
12,2,Dal Makhani,North Indian,Veg,100,Yes
13,2,Litti Chokha,North Indian,Veg,80,No
14,3,Veg Biryani,Biryani,Veg,100,Yes
15,3,Gulab Jamun,Desserts,Veg,300,No
16,3,Chole Bhature,North Indian,Veg,400,Yes
17,3,Idli Sambar,South Indian,Veg,100,Yes
18,3,Chicken Tikka,Mughlai,Non-Veg,120,Yes
19,3,Pav Bhaji,Street Food,Veg,280,No
20,3,Dal Makhani,North Indian,Veg,80,No
21,3,Prawn Masala,Seafood,Non-Veg,120,No
22,3,Chicken Burger,Fast Food,Non-Veg,180,No
23,4,Idli Sambar,South Indian,Veg,180,Yes
24,4,Pani Puri,Street Food,Veg,180,Yes
25,4,Pav Bhaji,Street Food,Veg,120,No
26,4,Chicken Biryani,Biryani,Non-Veg,100,Yes
27,4,Chicken Manchurian,Chinese,Non-Veg,280,Yes
28,4,Mutton Rogan Josh,Mughlai,Non-Veg,80,Yes
29,4,Masala Dosa,South Indian,Veg,180,No
30,4,Thali,South Indian,Veg,280,No
31,5,Paratha,North Indian,Veg,120,No
32,5,Margherita Pizza,Italian,Veg,250,Yes
33,5,Chole Bhature,North Indian,Veg,80,Yes
34,5,Paneer Tikka,North Indian,Veg,450,Yes
