review_id,order_id,customer_id,restaurant_id,food_rating,delivery_rating,overall_rating,review_comment,review_date
1,2234,1822,24,2,1,5.0,"Amazing food, will order again!",2023-06-11
2,1199,1297,182,3,1,1.5,Hygienic and tasty.,2022-02-11
3,553,1743,47,1,2,2.9,"Fast delivery, fresh food.",2023-06-13
4,4004,1326,21,4,3,3.5,Best biryani in the city!,2023-03-06
5,285,402,419,5,5,3.3,"Fast delivery, fresh food.",2022-12-27
6,3838,62,68,1,5,4.7,"Good quality, reasonable price.",2022-06-18
7,2665,259,79,2,4,2.7,Food was not as per menu description.,2022-02-28
8,231,894,263,3,4,1.1,Best biryani in the city!,2022-01-30
9,2983,137,424,4,3,4.5,"Average food, nothing special.",2023-04-16
10,1413,71,398,1,3,1.7,"Amazing food, will order again!",2022-03-03
11,1854,1533,90,1,3,3.1,"Too oily, not recommended.",2023-01-25
12,304,1698,44,3,3,2.0,Restaurant staff was helpful.,2023-05-27
13,640,626,2,2,5,4.5,Will definitely recommend to friends.,2022-02-09
14,1876,890,188,5,4,3.9,Loved the paneer dishes.,2022-06-27
15,1329,223,69,2,2,4.5,"Average food, nothing special.",2023-11-27
16,2834,113,58,4,3,4.0,One of my favourite restaurants.,2023-04-18
17,809,1230,138,1,1,4.0,Excellent taste and packaging.,2022-10-05
18,4022,1046,493,3,2,1.8,"Decent food, average service.",2023-07-22
19,4225,1686,31,1,3,4.1,"Good quality, reasonable price.",2023-10-07
20,4505,362,41,2,5,4.2,Great ambience and service.,2023-12-25
21,2848,1724,379,5,5,2.3,Loved the paneer dishes.,2023-06-19
22,4362,1579,321,4,2,1.1,Will definitely recommend to friends.,2022-02-11
23,3320,84,172,4,5,2.1,One of my favourite restaurants.,2023-08-31
24,4064,1095,215,1,3,3.6,Value for money.,2023-10-29
25,2374,26,325,1,2,4.2,Hygienic and tasty.,2022-05-19
26,3292,311,219,2,5,4.2,Disappointed with the quality.,2023-03-07
27,1452,381,53,5,2,3.2,"Average food, nothing special.",2022-10-01
28,2207,1497,60,2,4,1.4,Excellent taste and packaging.,2022-12-07
29,3204,1882,171,2,4,3.5,Disappointed with the quality.,2023-10-11
30,438,752,93,2,5,4.7,"Amazing food, will order again!",2022-09-06
31,4982,496,177,1,5,4.1,"Average food, nothing special.",2023-02-01
32,1597,1884,267,3,3,4.6,Restaurant staff was helpful.,2022-08-12
33,4436,1003,39,3,5,3.2,Disappointed with the quality.,2022-02-26
34,3269,85,28,4,3,4.0,Great ambience and service.,2022-03-17
35,3552,1319,359,3,3,2.0,Excellent taste and packaging.,2023-02-02
36,1164,223,371,1,4,1.2,Great ambience and service.,2023-02-25
37,5000,10,419,3,2,2.5,Loved the paneer dishes.,2022-01-20
38,1554,971,52,4,4,2.5,"Very bad experience, food was cold.",2022-08-02
39,4559,1077,409,1,3,4.5,"Good quality, reasonable price.",2022-01-31
40,577,1888,80,3,1,1.2,Delivery was late but food was good.,2023-05-31
41,295,276,266,1,2,2.3,Best biryani in the city!,2023-06-30
42,1156,1151,104,5,1,1.9,Value for money.,2023-06-01
43,45,346,79,2,1,2.9,Disappointed with the quality.,2023-08-03
44,583,1330,189,2,2,1.4,Hygienic and tasty.,2023-09-17
45,3710,135,291,1,3,2.6,"Good quality, reasonable price.",2022-11-04
46,4966,1161,273,5,5,1.4,"Amazing food, will order again!",2022-08-21
47,3373,1552,51,3,3,2.1,Food was not as per menu description.,2023-09-27
48,4378,1605,166,1,4,1.7,Excellent taste and packaging.,2022-06-27
49,3605,1026,36,2,5,3.9,Best biryani in the city!,2022-07-28
50,470,1990,80,1,4,4.6,Excellent taste and packaging.,2022-01-04
51,3377,1778,31,4,5,1.7,"Average food, nothing special.",2022-02-24
52,1092,903,159,4,1,4.4,"Too oily, not recommended.",2022-04-20
53,1582,1204,74,3,5,2.7,Great ambience and service.,2022-07-05
54,3772,762,74,4,3,5.0,Disappointed with the quality.,2022-09-15
55,2965,1943,276,1,3,4.9,Restaurant staff was helpful.,2022-10-19
56,3064,1143,269,3,2,4.1,"Too oily, not recommended.",2023-11-04
57,3761,199,127,5,2,4.9,"Fast delivery, fresh food.",2023-12-16
58,3999,953,399,1,2,2.4,Great ambience and service.,2022-09-09
59,737,742,232,5,5,3.6,Delivery was late but food was good.,2023-10-09
60,4001,862,382,1,4,2.5,Disappointed with the quality.,2023-11-15
61,700,91,282,4,5,4.1,Loved the paneer dishes.,2022-04-10
62,2370,1662,118,1,3,4.8,Excellent taste and packaging.,2023-08-04
63,3220,142,369,5,5,3.6,"Good quality, reasonable price.",2022-04-23
64,326,1743,424,3,3,1.6,"Too oily, not recommended.",2023-07-04
65,1863,1268,46,4,3,1.5,"Good quality, reasonable price.",2023-06-03
66,3081,194,146,3,2,3.5,"Too oily, not recommended.",2022-02-02
67,1711,1764,157,1,4,3.4,Portion size could be bigger.,2023-10-26
68,2468,1303,397,4,1,5.0,Great ambience and service.,2023-11-06
69,3609,1142,219,3,1,4.4,"Amazing food, will order again!",2022-03-18
70,1977,445,67,1,1,3.2,Portion size could be bigger.,2022-03-08
71,3085,28,413,2,1,1.6,Great ambience and service.,2023-01-02
72,2108,1576,381,1,5,4.3,"Fast delivery, fresh food.",2022-06-28
73,4039,29,314,5,1,1.4,Food was not as per menu description.,2023-10-01
74,1005,303,235,2,4,3.5,"Decent food, average service.",2023-11-20
75,3878,1242,89,4,4,3.7,Hygienic and tasty.,2022-09-10
76,3769,586,110,4,3,3.3,Loved the paneer dishes.,2023-06-30
77,1646,1042,482,5,5,1.8,One of my favourite restaurants.,2022-05-25
78,4988,1324,339,4,2,1.9,"Average food, nothing special.",2023-09-08
79,3360,1519,190,3,1,1.3,Great ambience and service.,2022-07-18
80,4580,1581,237,3,4,2.5,"Too oily, not recommended.",2022-11-13
81,3433,888,443,1,3,1.7,"Good quality, reasonable price.",2023-09-23
