order_item_id,order_id,menu_item_id,quantity,item_price,subtotal
1,1,28,1,80,80
2,1,29,1,180,180
3,1,30,2,280,560
4,2,3528,3,500,1500
5,2,3530,1,350,350
6,2,3527,1,150,150
7,2,3520,1,150,150
8,3,2997,2,150,300
9,3,2999,2,300,600
10,4,806,3,400,1200
11,4,811,2,350,700
12,4,816,2,180,360
13,5,3041,3,80,240
14,5,3043,1,180,180
15,5,3044,3,350,1050
16,6,3311,2,100,200
17,7,1510,3,100,300
18,8,1177,2,250,500
19,9,2419,3,200,600
20,9,2417,3,350,1050
21,9,2416,2,220,440
22,10,49,2,300,600
23,10,50,1,400,400
24,10,52,3,250,750
25,11,3857,3,180,540
26,11,3866,1,450,450
27,11,3863,3,400,1200
28,11,3865,2,350,700
29,12,937,1,80,80
30,13,4060,2,200,400
31,13,4065,3,350,1050
32,14,2456,2,220,440
33,14,2459,1,450,450
34,15,3219,3,80,240
35,15,3220,3,400,1200
36,15,3221,3,500,1500
37,15,3217,2,80,160
38,16,2862,2,200,400
39,17,3856,2,150,300
40,18,3694,3,220,660
41,18,3697,2,280,560
42,19,3314,1,350,350
43,19,3316,1,250,250
44,19,3317,3,180,540
45,19,3319,1,400,400
46,20,1774,2,500,1000
47,20,1775,2,450,900
48,21,1356,2,350,700
49,21,1359,3,450,1350
50,21,1358,3,220,660
51,21,1354,3,300,900
52,22,3304,3,500,1500
53,23,1913,3,250,750
54,23,1909,2,120,240
55,23,1910,1,350,350
56,24,2622,1,280,280
57,24,2620,1,100,100
58,24,2623,1,80,80
59,25,239,2,180,360
60,25,240,3,350,1050
61,26,3400,3,120,360
62,26,3399,3,450,1350
63,26,3402,1,200,200
64,27,3551,1,250,250
65,27,3552,2,400,800
66,28,2692,2,400,800
67,29,2696,3,300,900
68,29,2694,1,280,280
69,30,2850,3,80,240
70,30,2851,2,100,200
71,30,2853,3,250,750
72,31,2533,3,220,660
73,31,2534,1,350,350
74,32,570,3,220,660
75,32,574,2,200,400
76,32,576,2,100,200
77,33,3393,3,200,600
78,33,3395,3,300,900
79,33,3394,1,300,300
80,34,3570,1,450,450
81,34,3564,1,80,80
82,35,1971,2,400,800
83,35,1973,1,180,180
84,35,1965,3,500,1500
85,35,1975,1,400,400
86,36,3919,2,150,300
87,36,3921,2,100,200
88,36,3918,2,280,560
89,37,50,3,400,1200
90,37,51,1,100,100
91,37,49,1,300,300
92,37,48,2,150,300
93,38,2101,2,250,500
94,38,2095,2,500,1000
95,38,2099,3,150,450
96,38,2097,2,220,440
97,39,2934,2,150,300
98,39,2929,2,180,360
99,39,2938,3,450,1350
100,40,854,2,400,800
101,40,858,3,80,240
102,40,853,3,80,240
103,40,860,2,100,200
104,41,2697,2,200,400
105,41,2700,3,80,240
106,41,2698,3,400,1200
107,41,2699,3,350,1050
108,42,3339,1,120,120
109,43,146,3,100,300
110,44,2557,1,400,400
111,44,2563,1,200,200
112,44,2562,2,400,800
113,44,2564,2,280,560
114,45,648,3,80,240
115,45,650,1,400,400
116,45,646,1,400,400
117,46,2990,2,450,900
118,46,2988,2,300,600
119,47,1252,3,500,1500
120,48,3750,3,180,540
121,49,718,1,100,100
122,49,713,3,450,1350
123,50,1170,1,450,450
124,50,1169,1,350,350
125,50,1164,3,200,600
126,50,1166,1,80,80
127,51,1896,2,280,560
128,51,1895,1,100,100
129,51,1893,2,450,900
130,52,3044,3,350,1050
131,53,231,1,400,400
132,53,238,2,500,1000
133,53,233,2,300,600
134,53,236,3,180,540
135,54,55,2,450,900
136,55,936,2,500,1000
137,55,934,1,80,80
138,55,938,2,220,440
139,56,1920,2,500,1000
140,56,1925,2,350,700
141,56,1918,2,100,200
142,56,1915,1,150,150
143,57,3324,1,400,400
144,58,938,3,220,660
145,58,937,1,80,80
146,58,933,2,100,200
147,58,934,2,80,160
148,59,2682,3,280,840
149,59,2684,1,250,250
150,60,3604,3,450,1350
151,61,2393,3,350,1050
152,62,3534,2,300,600
153,62,3532,2,180,360
154,62,3535,3,450,1350
155,63,2891,1,350,350
156,63,2890,2,200,400
157,63,2898,3,400,1200
158,64,3586,3,100,300
159,64,3588,2,220,440
160,64,3590,2,220,440
161,65,2660,2,200,400
162,66,971,2,250,500
163,66,974,3,220,660
164,66,968,2,120,240
165,66,969,1,300,300
166,67,3872,3,120,360
167,67,3868,2,100,200
168,67,3867,2,300,600
169,67,3869,2,500,1000
170,68,1698,3,500,1500
171,69,499,3,80,240
172,69,504,1,150,150
173,70,2130,2,200,400
174,70,2129,3,180,540
175,70,2124,3,80,240
176,70,2120,1,100,100
177,71,3676,2,150,300
178,72,842,3,100,300
179,72,836,3,350,1050
180,72,838,3,100,300
181,73,305,1,80,80
182,73,300,3,180,540
183,73,306,2,450,900
184,73,297,1,100,100
185,74,273,2,220,440
186,75,2154,1,120,120
187,75,2151,1,400,400
188,75,2150,3,200,600
189,75,2153,1,450,450
190,76,517,3,500,1500
191,77,577,3,500,1500
192,77,575,2,180,360
193,77,573,1,350,350
194,78,2896,3,300,900
195,79,1518,1,280,280
196,80,3414,1,220,220
197,80,3417,3,500,1500
198,80,3411,3,100,300
199,80,3413,2,200,400
200,81,315,3,200,600
201,81,313,3,300,900
202,82,3602,3,350,1050
203,82,3604,3,450,1350
204,82,3607,3,500,1500
205,82,3608,3,100,300
206,83,3023,1,300,300
207,83,3024,3,200,600
208,83,3021,2,120,240
209,83,3026,1,150,150
210,84,2718,1,220,220
211,84,2720,2,100,200
212,84,2716,1,100,100
213,84,2712,3,280,840
214,85,2759,3,200,600
215,85,2762,1,280,280
216,85,2752,2,400,800
217,85,2756,1,100,100
218,86,2307,3,300,900
219,87,2681,1,120,120
220,87,2680,3,500,1500
221,88,538,3,120,360
222,88,537,1,220,220
223,88,541,2,400,800
224,89,3291,2,300,600
225,89,3292,3,500,1500
226,90,770,3,100,300
227,91,250,2,100,200
228,91,251,1,450,450
229,91,249,2,280,560
230,91,253,3,150,450
231,92,361,3,120,360
232,92,360,2,120,240
233,92,359,2,350,700
234,93,1054,1,220,220
235,93,1053,2,80,160
236,94,3202,3,500,1500
237,94,3210,1,80,80
238,95,3057,1,80,80
239,95,3053,3,400,1200
240,95,3055,3,280,840
241,96,2325,2,280,560
242,96,2323,3,450,1350
243,97,2496,2,500,1000
244,97,2489,2,120,240
245,98,1604,2,120,240
246,98,1605,2,120,240
247,99,2158,1,450,450
248,100,2042,3,280,840
249,101,804,2,180,360
250,101,801,3,220,660
251,102,2393,3,350,1050
252,102,2396,1,100,100
253,103,3708,3,200,600
254,104,2899,1,280,280
255,104,2895,3,300,900
256,105,514,1,180,180
257,106,2032,2,250,500
258,106,2029,1,120,120
259,106,2031,3,220,660
260,106,2030,2,120,240
261,107,1052,2,280,560
262,107,1058,2,100,200
263,107,1054,2,220,440
264,108,2788,2,180,360
265,109,2326,3,280,840
266,109,2329,3,150,450
267,109,2327,1,80,80
268,109,2328,1,100,100
269,110,2603,3,100,300
270,110,2599,3,300,900
271,111,3833,1,200,200
272,111,3826,1,500,500
273,111,3830,1,120,120
274,112,4113,3,350,1050
275,113,3200,1,500,500
276,113,3194,3,400,1200
277,113,3196,3,450,1350
278,113,3195,3,250,750
279,114,2972,3,350,1050
280,114,2970,3,200,600
281,115,4243,3,150,450
282,115,4242,2,500,1000
283,116,3745,2,80,160
284,116,3748,1,450,450
285,116,3747,2,120,240
286,117,4274,2,220,440
287,117,4276,1,280,280
288,117,4275,2,280,560
289,118,3578,3,100,300
290,118,3577,1,200,200
291,118,3574,1,350,350
